"Feature.ID","Old.Taxon","Domain","Phylum","Subphylum","Order","Family","Genus","Species","Confidence","Taxon"
"b397426af51bb2f7f26462408289e3c3","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,0.999997079007789,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_100"
"db754d5370414df800596a34c0e915fa","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae;D_5__uncultured;D_6__uncultured bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","uncultured","uncultured bacterium",0.95597548865308,"Bacteria_Firmicutes_Clostridiales_Christensenellaceae_uncultured_uncultured bacterium_16"
"82ca011db9a2d34ea22f9f0f4b358d11","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Hyphomicrobiaceae;D_5__Hyphomicrobium;D_6__uncultured bacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","uncultured bacterium",0.804906872253325,"Bacteria_Proteobacteria_Rhizobiales_Hyphomicrobiaceae_Hyphomicrobium_uncultured bacterium_2"
"f4b76b6db3530d49700d4a3a10c9f1ed","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae;D_5__uncultured","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured",NA,0.981963635579749,"Bacteria_Proteobacteria_Rhizobiales_Xanthobacteraceae_uncultured_7"
"5eb60e32440d5c10641d048e8185a0cb","D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Thermomicrobiales;D_4__JG30-KF-CM45;D_5__uncultured bacterium;D_6__uncultured bacterium","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium",NA,0.992862663849257,"Bacteria_Chloroflexi_Thermomicrobiales_JG30-KF-CM45_uncultured bacterium_8"
"fbe7712951a41dda62dbfff7fcaf59cc","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Elsterales;D_4__uncultured;D_5__uncultured bacterium;D_6__uncultured bacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium",NA,0.984328633278983,"Bacteria_Proteobacteria_Elsterales_uncultured_uncultured bacterium_4"
"f7e48c5dd625943a9ece85a54bd8c9ee","D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Chthoniobacteraceae;D_5__Candidatus Udaeobacter;D_6__Verrucomicrobia bacterium OR-59","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Verrucomicrobia bacterium OR-59",0.807888352368821,"Bacteria_Verrucomicrobia_Chthoniobacterales_Chthoniobacteraceae_Candidatus Udaeobacter_Verrucomicrobia bacterium OR-59_3"
"582bd8ba1677776e32adb01ae926244e","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,0.999772368235334,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_101"
"bff5b2dd905cee4b24176afd39834935","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Tyzzerella 3;D_6__uncultured Eubacteriaceae bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella 3","uncultured Eubacteriaceae bacterium",0.93528877325536,"Bacteria_Firmicutes_Clostridiales_Lachnospiraceae_Tyzzerella 3_uncultured Eubacteriaceae bacterium_17"
"5ab509fb9769cceeb18bce6ac1dbe0bd","D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Thermomicrobiales;D_4__JG30-KF-CM45;D_5__uncultured bacterium;D_6__uncultured bacterium","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium",NA,0.869805182813756,"Bacteria_Chloroflexi_Thermomicrobiales_JG30-KF-CM45_uncultured bacterium_9"
