"Sample.ID","Lifestage","Gut.Region","Stage.Gut","Sex","Domain","Phylum","Abundance","totalAbun","relativeAbun"
"Paunch5","larva","paunch","Larval paunch","","Bacteria","Firmicutes",7084,19817,35.7470858353939
"Paunch5","larva","paunch","Larval paunch","","Bacteria","Planctomycetes",702,19817,3.54241307967906
"Paunch5","larva","paunch","Larval paunch","","Bacteria","Proteobacteria",8273,19817,41.7469849119443
"Paunch5","larva","paunch","Larval paunch","","Bacteria","Rokubacteria",4,19817,0.0201846899127012
"Paunch5","larva","paunch","Larval paunch","","Bacteria","RsaHF231",7,19817,0.0353232073472271
"Paunch5","larva","paunch","Larval paunch","","Bacteria","Synergistetes",10,19817,0.050461724781753
"Paunch5","larva","paunch","Larval paunch","","Bacteria","Tenericutes",14,19817,0.0706464146944542
"Paunch5","larva","paunch","Larval paunch","","Bacteria","Verrucomicrobia",255,19817,1.2867739819347
"Paunch9","larva","paunch","Larval paunch","","Archaea","Euryarchaeota",766,16411,4.66760099932972
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Acidobacteria",29,16411,0.176710742794467
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Actinobacteria",157,16411,0.956675400645908
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Armatimonadetes",2,16411,0.0121869477789288
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Bacteroidetes",4108,16411,25.0319907379197
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Chloroflexi",24,16411,0.146243373347145
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Cyanobacteria",157,16411,0.956675400645908
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Deferribacteres",141,16411,0.859179818414478
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Elusimicrobia",202,16411,1.23088172567181
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Firmicutes",7651,16411,46.621168728292
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Gemmatimonadetes",3,16411,0.0182804216683932
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Planctomycetes",118,16411,0.719029918956797
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Proteobacteria",2893,16411,17.6284199622205
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Rokubacteria",3,16411,0.0182804216683932
"Paunch9","larva","paunch","Larval paunch","","Bacteria","RsaHF231",4,16411,0.0243738955578575
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Tenericutes",18,16411,0.109682530010359
"Paunch9","larva","paunch","Larval paunch","","Bacteria","Verrucomicrobia",135,16411,0.822618975077692
