"Sample.ID","Lifestage","Gut.Region","Stage.Gut","Sex","Domain","Phylum","Abundance","totalAbun","relativeAbun"
"Ileum18","larva","ileum","Larval ileum","","Bacteria","Gemmatimonadetes",7,5812,0.120440467997247
"Ileum18","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",7,5812,0.120440467997247
"Ileum18","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",171,5812,2.94218857536132
"Ileum18","larva","ileum","Larval ileum","","Bacteria","RsaHF231",27,5812,0.464556090846524
"Ileum18","larva","ileum","Larval ileum","","Bacteria","Synergistetes",2,5812,0.0344115622849277
"Ileum18","larva","ileum","Larval ileum","","Bacteria","Tenericutes",339,5812,5.83275980729525
"Ileum19","larva","ileum","Larval ileum","","Archaea","Thaumarchaeota",11,6440,0.170807453416149
"Ileum19","larva","ileum","Larval ileum","","Bacteria","Acidobacteria",3,6440,0.046583850931677
"Ileum19","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",157,6440,2.43788819875776
"Ileum19","larva","ileum","Larval ileum","","Bacteria","Bacteroidetes",255,6440,3.95962732919255
"Ileum19","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",15,6440,0.232919254658385
"Ileum19","larva","ileum","Larval ileum","","Bacteria","Firmicutes",5446,6440,84.5652173913043
"Ileum19","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",8,6440,0.124223602484472
"Ileum19","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",62,6440,0.962732919254658
"Ileum19","larva","ileum","Larval ileum","","Bacteria","RsaHF231",187,6440,2.90372670807453
"Ileum19","larva","ileum","Larval ileum","","Bacteria","Tenericutes",294,6440,4.56521739130435
"Ileum19","larva","ileum","Larval ileum","","Bacteria","Verrucomicrobia",2,6440,0.031055900621118
"Ileum2","larva","ileum","Larval ileum","","Archaea","Thaumarchaeota",2,5524,0.0362056480811006
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Acidobacteria",632,5524,11.4409847936278
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",1209,5524,21.8863142650253
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Armatimonadetes",2,5524,0.0362056480811006
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",657,5524,11.8935553946416
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Coprothermobacteraeota",2,5524,0.0362056480811006
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Entotheonellaeota",2,5524,0.0362056480811006
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Firmicutes",332,5524,6.01013758146271
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Gemmatimonadetes",27,5524,0.488776249094859
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",1046,5524,18.9355539464156
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",1164,5524,21.0716871832006
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Rokubacteria",5,5524,0.0905141202027516
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Tenericutes",13,5524,0.235336712527154
"Ileum2","larva","ileum","Larval ileum","","Bacteria","Verrucomicrobia",431,5524,7.80231716147719
"Ileum20","larva","ileum","Larval ileum","","Archaea","Thaumarchaeota",8,2353,0.339991500212495
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Acidobacteria",17,2353,0.722481937951551
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",453,2353,19.2520186995325
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Bacteroidetes",193,2353,8.20229494262643
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",137,2353,5.82235444113897
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Firmicutes",1236,2353,52.5286867828304
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",66,2353,2.80492987675308
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",111,2353,4.71738206544836
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Rokubacteria",5,2353,0.212494687632809
"Ileum20","larva","ileum","Larval ileum","","Bacteria","RsaHF231",34,2353,1.4449638759031
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Synergistetes",2,2353,0.0849978750531237
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Tenericutes",62,2353,2.63493412664683
"Ileum20","larva","ileum","Larval ileum","","Bacteria","Verrucomicrobia",29,2353,1.23246918827029
"Ileum21","larva","ileum","Larval ileum","","Archaea","Thaumarchaeota",4,3491,0.114580349470066
"Ileum21","larva","ileum","Larval ileum","","Bacteria","Acidobacteria",5,3491,0.143225436837582
"Ileum21","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",434,3491,12.4319679175021
"Ileum21","larva","ileum","Larval ileum","","Bacteria","Bacteroidetes",30,3491,0.859352621025494
"Ileum21","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",4,3491,0.114580349470066
"Ileum21","larva","ileum","Larval ileum","","Bacteria","Firmicutes",1566,3491,44.8582068175308
"Ileum21","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",54,3491,1.54683471784589
"Ileum21","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",576,3491,16.4995703236895
"Ileum21","larva","ileum","Larval ileum","","Bacteria","Tenericutes",816,3491,23.3743912918934
"Ileum21","larva","ileum","Larval ileum","","Bacteria","Verrucomicrobia",2,3491,0.0572901747350329
"Ileum3","larva","ileum","Larval ileum","","Archaea","Euryarchaeota",2,13418,0.0149053510210165
"Ileum3","larva","ileum","Larval ileum","","Archaea","Thaumarchaeota",42,13418,0.313012371441347
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Acidobacteria",1389,13418,10.351766284096
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",2465,13418,18.3708451334029
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Armatimonadetes",8,13418,0.0596214040840662
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Bacteroidetes",2,13418,0.0149053510210165
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",1396,13418,10.4039350126695
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Entotheonellaeota",40,13418,0.298107020420331
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Firmicutes",1610,13418,11.9988075719183
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Gemmatimonadetes",32,13418,0.238485616336265
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",2667,13418,19.8762855865256
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",2533,13418,18.8776270681175
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Rokubacteria",20,13418,0.149053510210165
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Tenericutes",57,13418,0.424802504098972
"Ileum3","larva","ileum","Larval ileum","","Bacteria","Verrucomicrobia",1155,13418,8.60784021463706
"Ileum5","larva","ileum","Larval ileum","","Archaea","Euryarchaeota",60,19719,0.304275064658451
"Ileum5","larva","ileum","Larval ileum","","Archaea","Thaumarchaeota",8,19719,0.0405700086211268
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Acidobacteria",2757,19719,13.9814392210558
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",3127,19719,15.857802119783
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Armatimonadetes",10,19719,0.0507125107764085
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Bacteroidetes",110,19719,0.557837618540494
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",1481,19719,7.51052284598611
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Entotheonellaeota",7,19719,0.035498757543486
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Firmicutes",735,19719,3.72736954206603
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Gemmatimonadetes",14,19719,0.070997515086972
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",4176,19719,21.1775445002282
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",5121,19719,25.9698767685988
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Rokubacteria",19,19719,0.0963537704751762
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Synergistetes",4,19719,0.0202850043105634
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Tenericutes",65,19719,0.329631320046656
"Ileum5","larva","ileum","Larval ileum","","Bacteria","Verrucomicrobia",2025,19719,10.2692834322227
"Ileum7","larva","ileum","Larval ileum","","Archaea","Thaumarchaeota",75,6202,1.20928732666882
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Acidobacteria",697,6202,11.2383102225089
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",1685,6202,27.1686552724927
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Armatimonadetes",11,6202,0.17736214124476
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Bacteroidetes",4,6202,0.0644953240890035
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",519,6202,8.36826830054821
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Entotheonellaeota",9,6202,0.145114479200258
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Firmicutes",313,6202,5.04675910996453
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Gemmatimonadetes",10,6202,0.161238310222509
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",1241,6202,20.0096742986134
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",1095,6202,17.6555949693647
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Rokubacteria",15,6202,0.241857465333763
"Ileum7","larva","ileum","Larval ileum","","Bacteria","Verrucomicrobia",528,6202,8.51338277974847
"Ileum9","larva","ileum","Larval ileum","","Archaea","Euryarchaeota",2,20867,0.00958451142952988
"Ileum9","larva","ileum","Larval ileum","","Archaea","Thaumarchaeota",14,20867,0.0670915800067092
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Acidobacteria",2966,20867,14.2138304499928
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",6740,20867,32.2998035175157
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Armatimonadetes",50,20867,0.239612785738247
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Bacteroidetes",18,20867,0.0862606028657689
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",2435,20867,11.6691426654526
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Elusimicrobia",4,20867,0.0191690228590598
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Entotheonellaeota",9,20867,0.0431303014328845
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Firmicutes",505,20867,2.42008913595629
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Gemmatimonadetes",45,20867,0.215651507164422
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Patescibacteria",11,20867,0.0527148128624143
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",3037,20867,14.5540806057411
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",2929,20867,14.0365169885465
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Rokubacteria",60,20867,0.287535342885896
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Tenericutes",725,20867,3.47438539320458
"Ileum9","larva","ileum","Larval ileum","","Bacteria","Verrucomicrobia",1317,20867,6.31140077634543
"Lmid2","larva","midgut","Larval midgut","","Archaea","Thaumarchaeota",16,4887,0.327399222426847
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Acidobacteria",657,4887,13.4438305709024
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Actinobacteria",1218,4887,24.9232658072437
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Bacteroidetes",11,4887,0.225086965418457
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Chloroflexi",596,4887,12.1956210354
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Entotheonellaeota",4,4887,0.0818498056067117
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Firmicutes",52,4887,1.06404747288725
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Gemmatimonadetes",15,4887,0.306936771025169
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Planctomycetes",960,4887,19.6439533456108
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Proteobacteria",965,4887,19.7462656026192
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Rokubacteria",13,4887,0.266011868221813
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Tenericutes",2,4887,0.0409249028033558
"Lmid2","larva","midgut","Larval midgut","","Bacteria","Verrucomicrobia",378,4887,7.73480662983425
